filename,ms.date,ms.author,title,refresh
includes\development-environment-config.md,2024-05-21,eur,include file,2024-11
includes\install-cli.md,2024-08-29,esgiley,include file,2025-02
includes\install-promptflow.md,2024-08-29,sgilley,include file,2025-02
includes\install-python.md,2024-08-29,esgiley,include file,2025-02
includes\region-availability-maas.md,2024-08-05,scottpolly,Include file,2025-02
includes\resource-provider-kinds.md,2024-05-21,larryfr,include file,2024-11
quickstarts\content-safety.md,2024-05-21,pafarley,Moderate text and images with content safety in Azure AI Studio,2024-11
quickstarts\get-started-code.md,2024-08-06,eur,Get started building a chat app using the prompt flow SDK,2025-02
quickstarts\get-started-playground.md,2024-05-21,eur,Create a project and use the chat playground in Azure AI Studio,2024-11
quickstarts\hear-speak-playground.md,2024-05-21,eur,Hear and speak with chat models in the Azure AI Studio chat playground,2024-11
quickstarts\multimodal-vision.md,2024-05-21,pafarley,Get started using GPT-4 Turbo with Vision on your images and videos in Azure AI Studio,2024-11
reference\reference-model-inference-api.md,2024-05-21,mopeakande,Azure AI Model Inference API,2024-11
reference\reference-model-inference-chat-completions.md,2024-05-21,mopeakande,Azure AI Model Inference Chat Completions,2024-11
reference\reference-model-inference-completions.md,2024-05-21,mopeakande,Azure AI Model Inference Completions,2024-11
reference\reference-model-inference-embeddings.md,2024-05-21,mopeakande,Azure AI Model Inference Embeddings API,2024-11
reference\reference-model-inference-images-embeddings.md,2024-05-21,mopeakande,Azure AI Model Inference Image Embeddings,2024-11
reference\reference-model-inference-info.md,2024-05-21,mopeakande,Azure AI Model Inference Get Info,2024-11
reference\region-support.md,2024-05-21,eur,Azure AI Studio feature availability across clouds regions,2024-11
tutorials\copilot-sdk-build-rag.md,2024-08-29,sgilley,Part 2: Build a custom chat app with the prompt flow SDK,2025-02
tutorials\copilot-sdk-create-resources.md,2024-08-29,sgilley,Part 1: Create resources to build a custom chat app,2025-02
tutorials\copilot-sdk-evaluate-deploy.md,2024-08-29,sgilley,Part 3: Evaluate and deploy chat app with the prompt flow SDK,2025-02
tutorials\deploy-chat-web-app.md,2024-05-21,aahi,Deploy an Enterprise Chat web app in the Azure AI Studio playground,2024-11
tutorials\screen-reader.md,2024-08-09,eur,Get started using Azure AI Studio with a screen reader,2025-02
what-is-ai-studio.md,2024-05-21,eur,What is Azure AI Studio?,2024-11
